snapped_at,price,market_cap,total_volume
2014-01-24 00:00:00 UTC,950.2387,11691523161,23718349.18
2014-01-25 00:00:00 UTC,992.3575,12214283435,39160364.56
2014-01-26 00:00:00 UTC,1012.345,12464447196,26896867.17
2014-01-27 00:00:00 UTC,932.0555,11479428552,34005718.75
2014-01-28 00:00:00 UTC,948.1867,11682750559,75511660.69
2014-01-29 00:00:00 UTC,958.1437,11809121103,39188118.38
2014-01-30 00:00:00 UTC,962.3731,11865025772,19151244.71
2014-01-31 00:00:00 UTC,968.9309,11950139692,36850245.23
2014-02-01 00:00:00 UTC,974.3682,12021852288,17230629.31
2014-02-02 00:00:00 UTC,975.1409,12035993479,22556684.01
2014-02-03 00:00:00 UTC,967.6201,11947785947,15178709.07
2014-02-04 00:00:00 UTC,944.5054,11666341800,16820584.06
2014-02-05 00:00:00 UTC,920.4669,11373726238,17398831.69
2014-02-06 00:00:00 UTC,875.3487,10819725723,51582706.68
2014-02-07 00:00:00 UTC,785.3996,9711269704,71572603.62
2014-02-08 00:00:00 UTC,755.6285,9346425589,93634132.98
2014-02-09 00:00:00 UTC,761.6624,9424201208,39512108.23
2014-02-10 00:00:00 UTC,759.9084,9405120298,42452395.98
2014-02-11 00:00:00 UTC,741.0794,9175266997,129450988.3
2014-02-12 00:00:00 UTC,718.9438,8904748038,72381970.61
2014-02-13 00:00:00 UTC,666.6865,8260562411,19542235.89
2014-02-14 00:00:00 UTC,726.8453,9009229323,105975319.9
2014-02-15 00:00:00 UTC,714.5104,8859643156,63620156.88
2014-02-16 00:00:00 UTC,674.3545,8364979818,26480814.18
2014-02-17 00:00:00 UTC,687.8447,8535344509,51727597.5
2014-02-18 00:00:00 UTC,688.5666,8547056706,24310308.67
2014-02-19 00:00:00 UTC,686.4426,8524055435,14675406.37
2014-02-20 00:00:00 UTC,613.1114,7616177106,36900244.18
2014-02-21 00:00:00 UTC,633.9123,7877216109,60980677.18
2014-02-22 00:00:00 UTC,673.7605,8374994611,25574016.47
2014-02-23 00:00:00 UTC,674.2628,8384306209,48262115.73
2014-02-24 00:00:00 UTC,603.4413,7506387363,49791629.62
2014-02-25 00:00:00 UTC,593.0082,7379230964,134647558.9
2014-02-26 00:00:00 UTC,643.7974,8014070510,85165458.33
2014-02-27 00:00:00 UTC,643.2846,8010839206,41935072.2
2014-02-28 00:00:00 UTC,609.2836,7590180911,26477841.07
2014-03-01 00:00:00 UTC,631.5211,7869589672,25823914.89
2014-03-02 00:00:00 UTC,629.1575,7842495424,12490012.05
2014-03-03 00:00:00 UTC,740.0546,9227537293,41753284.49
2014-03-04 00:00:00 UTC,741.2927,9245717604,94583018.18
2014-03-05 00:00:00 UTC,736.5822,9190170378,30153833.81
2014-03-06 00:00:00 UTC,725.3347,9052775457,18461433.1
2014-03-07 00:00:00 UTC,690.0653,8615517026,33321164.21
2014-03-08 00:00:00 UTC,678.3907,8472709768,23732615.65
2014-03-09 00:00:00 UTC,699.2456,8736024904,17024718.39
2014-03-10 00:00:00 UTC,693.4587,8666569449,18337241.93
2014-03-11 00:00:00 UTC,700.874,8762169051,14082264.5
2014-03-12 00:00:00 UTC,702.1772,8781445618,22896718.97
2014-03-13 00:00:00 UTC,706.0428,8832824892,14215874.51
2014-03-14 00:00:00 UTC,693.9009,8683389125,13157746.07
2014-03-15 00:00:00 UTC,701.6093,8782867999,6557820.854
2014-03-16 00:00:00 UTC,699.1728,8755146677,5368865.248
2014-03-17 00:00:00 UTC,683.7485,8565078147,14658761.86
2014-03-18 00:00:00 UTC,671.9278,8419389719,25465434.27
2014-03-19 00:00:00 UTC,673.8512,8446118326,16803904.7
2014-03-20 00:00:00 UTC,649.0745,8138388165,21978769.59
2014-03-21 00:00:00 UTC,628.3829,7881665329,41064713.47
2014-03-22 00:00:00 UTC,621.3931,7796712435,19911883.21
2014-03-23 00:00:00 UTC,617.1525,7746791327,11177199.5
2014-03-24 00:00:00 UTC,642.1306,8063506850,19312531.4
2014-03-25 00:00:00 UTC,635.6602,7984559555,20333597.34
2014-03-26 00:00:00 UTC,628.049,7890886142,18895136.18
2014-03-27 00:00:00 UTC,516.4347,6489854123,20303569.64
2014-03-28 00:00:00 UTC,543.334,6830224547,85839395.38
2014-03-29 00:00:00 UTC,533.2714,6706594439,28463924.45
2014-03-30 00:00:00 UTC,499.3798,6282547450,18987224.68
2014-03-31 00:00:00 UTC,494.7318,6226137861,61477645.15
2014-04-01 00:00:00 UTC,,,34268125.73
2014-04-02 00:00:00 UTC,,,30847579.51
2014-04-03 00:00:00 UTC,,,67167516.14
2014-04-04 00:00:00 UTC,,,33750871.25
2014-04-05 00:00:00 UTC,,,19306020.92
2014-04-06 00:00:00 UTC,,,10666518.56
2014-04-07 00:00:00 UTC,481.411,6073625600,10308527.25
2014-04-08 00:00:00 UTC,,,14503757.11
2014-04-09 00:00:00 UTC,,,7421385.665
2014-04-10 00:00:00 UTC,,,50964572.42
2014-04-11 00:00:00 UTC,,,67114382.63
2014-04-12 00:00:00 UTC,,,20069804.55
2014-04-13 00:00:00 UTC,,,22090991.39
2014-04-14 00:00:00 UTC,,,51164574.3
2014-04-15 00:00:00 UTC,,,52218467.19
2014-04-16 00:00:00 UTC,,,58902678.65
2014-04-17 00:00:00 UTC,,,34929132.02
2014-04-18 00:00:00 UTC,,,19117355.11
2014-04-19 00:00:00 UTC,,,19233276.01
2014-04-20 00:00:00 UTC,,,10614399.71
2014-04-21 00:00:00 UTC,,,14018249.62
2014-04-22 00:00:00 UTC,,,10423508.05
2014-04-23 00:00:00 UTC,,,9046062.48
2014-04-24 00:00:00 UTC,,,10393357.73
2014-04-25 00:00:00 UTC,,,47568437.63
2014-04-26 00:00:00 UTC,,,12999271.83
2014-04-27 00:00:00 UTC,,,10325238.22
2014-04-28 00:00:00 UTC,,,22451390.92
2014-04-29 00:00:00 UTC,,,16232214.53
2014-04-30 00:00:00 UTC,,,14089043.95
2014-05-01 00:00:00 UTC,,,12927647.51
2014-05-02 00:00:00 UTC,,,8864347.192
2014-05-03 00:00:00 UTC,,,10251026.85
2014-05-04 00:00:00 UTC,,,5635428.158
2014-05-05 00:00:00 UTC,,,9250643.215
2014-05-06 00:00:00 UTC,,,11585831.05
2014-05-07 00:00:00 UTC,,,17447102.47
2014-05-08 00:00:00 UTC,,,9020409.75
2014-05-09 00:00:00 UTC,,,9436967.607
2014-05-10 00:00:00 UTC,,,5909525.158
2014-05-11 00:00:00 UTC,,,12320091.36
2014-05-12 00:00:00 UTC,,,6294412.352
2014-05-13 00:00:00 UTC,,,6006211.07
2014-05-14 00:00:00 UTC,,,7172799.847
2014-05-15 00:00:00 UTC,,,6648947.635
2014-05-16 00:00:00 UTC,,,5651246.915
2014-05-17 00:00:00 UTC,,,2825151.67
2014-05-18 00:00:00 UTC,,,8366618.377
2014-05-19 00:00:00 UTC,,,12553111.59
2014-05-20 00:00:00 UTC,,,64588505.66
2014-05-21 00:00:00 UTC,,,21772593.3
2014-05-22 00:00:00 UTC,,,31375179.11
2014-05-23 00:00:00 UTC,,,32431676.74
2014-05-24 00:00:00 UTC,,,11141614.49
2014-05-25 00:00:00 UTC,,,47414794.76
2014-05-26 00:00:00 UTC,,,28434454.59
2014-05-27 00:00:00 UTC,,,35714731.65
2014-05-28 00:00:00 UTC,,,17131088.47
2014-05-29 00:00:00 UTC,,,15437618.41
2014-05-30 00:00:00 UTC,,,45060877.62
2014-05-31 00:00:00 UTC,,,20127587.34
2014-06-01 00:00:00 UTC,,,56545668.05
2014-06-02 00:00:00 UTC,,,44670115.61
2014-06-03 00:00:00 UTC,,,40286191.69
2014-06-04 00:00:00 UTC,,,46805901.84
2014-06-05 00:00:00 UTC,,,26491983.29
2014-06-06 00:00:00 UTC,,,14964270.93
2014-06-07 00:00:00 UTC,,,13901096.14
2014-06-08 00:00:00 UTC,,,7346819.118
2014-06-09 00:00:00 UTC,690.0516,8884397099,16252103.26
2014-06-10 00:00:00 UTC,693.4147,8930799958,14634716.44
2014-06-11 00:00:00 UTC,668.7435,8615439229,21978311.03
2014-06-12 00:00:00 UTC,617.3317,7955692518,44660873.46
2014-06-13 00:00:00 UTC,635.4009,8191238932,40549103.57
2014-06-14 00:00:00 UTC,608.0383,7841155510,36004834.52
2014-06-15 00:00:00 UTC,629.6662,8123087521,20913902.76
2014-06-16 00:00:00 UTC,625.4783,8071953831,27238677.76
2014-06-17 00:00:00 UTC,650.4847,8397692429,15068481.04
2014-06-18 00:00:00 UTC,644.4195,8321920650,15951657.94
2014-06-19 00:00:00 UTC,630.0981,8139559998,11963422.71
2014-06-20 00:00:00 UTC,626.8743,8100939860,15829715.2
2014-06-21 00:00:00 UTC,629.546,8138392960,8842824.779
2014-06-22 00:00:00 UTC,638.6832,8259035998,10682333.13
2014-06-23 00:00:00 UTC,623.3595,8064012252,11963581.93
2014-06-24 00:00:00 UTC,613.8043,7943256791,12239311.19
2014-06-25 00:00:00 UTC,597.7432,7738248975,19415381.04
2014-06-26 00:00:00 UTC,615.5528,7971408760,13524074.02
2014-06-27 00:00:00 UTC,637.3929,8257265671,21209347.44
2014-06-28 00:00:00 UTC,628.0097,8138660307,14383159.26
2014-06-29 00:00:00 UTC,635.3107,8235834377,9424921.782
2014-06-30 00:00:00 UTC,677.9146,8790366087,49976582.3
2014-07-01 00:00:00 UTC,669.4541,8682836413,40022157
2014-07-02 00:00:00 UTC,685.5492,8893955407,27493708.31
2014-07-03 00:00:00 UTC,685.4496,8895045187,19846835.95
2014-07-04 00:00:00 UTC,669.4546,8690257108,23931189.3
2014-07-05 00:00:00 UTC,670.9806,8712582444,9934627.548
2014-07-06 00:00:00 UTC,674.7377,8763746274,11962604.13
2014-07-07 00:00:00 UTC,659.6049,8569669311,19725391.55
2014-07-08 00:00:00 UTC,659.7694,8574297145,9863690.311
2014-07-09 00:00:00 UTC,659.4264,8570367093,9920681.12
2014-07-10 00:00:00 UTC,654.9556,8512261447,15981015.59
2014-07-11 00:00:00 UTC,671.7364,8730356470,16863637.94
2014-07-12 00:00:00 UTC,674.7165781,8769088951,14127561.34
2014-07-13 00:00:00 UTC,668.6006112,8689601563,12184743.5
2014-07-14 00:00:00 UTC,658.0958878,8553074825,2816820262
2014-07-15 00:00:00 UTC,660.4855,8584131898,11499489.31
2014-07-16 00:00:00 UTC,655.8278,8523597168,14607408.56
2014-07-17 00:00:00 UTC,666.773,8665848649,15668536.92
2014-07-18 00:00:00 UTC,667.5122,8701088278,14996236.82
2014-07-19 00:00:00 UTC,669.1751,8725775634,8165332.085
2014-07-20 00:00:00 UTC,662.9991,8647762461,5093995.965
2014-07-21 00:00:00 UTC,661.628,8632392842,8779007.585
2014-07-22 00:00:00 UTC,659.0201,8600805423,8196232.526
2014-07-23 00:00:00 UTC,654.741,8547316385,9581559.757
2014-07-24 00:00:00 UTC,636.8919,8316534430,26230668.79
2014-07-25 00:00:00 UTC,637.4096,8325015563,21516341.84
